age,education,black,married,nodegree,re74,re75,re78,hispanic,sample,treat,educ_cat4,sample_id
38,12,0,1,0,17312.08203125,15957.1455078125,0,0,CPS,0,2,2
47,13,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
47,12,0,1,0,19177.302734375,18280.984375,15740.7431640625,0,CPS,0,2,2
47,12,0,1,0,8052.58642578125,7533.67724609375,0,0,CPS,0,2,2
47,12,0,1,0,25862.322265625,25243.548828125,9500.3037109375,0,CPS,0,2,2
47,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
47,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
47,12,0,1,0,0,0,0,0,CPS,0,2,2
47,12,0,1,0,25862.322265625,23293.88671875,0,0,CPS,0,2,2
47,12,0,1,0,18871.658203125,18366.919921875,19785.28125,0,CPS,0,2,2
47,12,0,1,0,16218.810546875,11583.38671875,20578.8203125,0,CPS,0,2,2
47,12,0,1,0,25862.322265625,20522.466796875,24505.140625,0,CPS,0,2,2
46,10,1,1,1,17741.16015625,17136.966796875,21438.857421875,0,CPS,0,1,2
43,12,0,1,0,25862.322265625,0,25564.669921875,0,CPS,0,2,2
43,12,0,1,0,18334.818359375,18692.7578125,20100.037109375,0,CPS,0,2,2
43,12,0,1,0,16303.05859375,14752.2578125,11965.15234375,0,CPS,0,2,2
50,18,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
50,18,0,1,0,23611.125,23376.2421875,23315.5703125,0,CPS,0,4,2
47,6,0,1,1,0,0,0,0,CPS,0,1,2
53,16,0,1,0,3869.552001953125,9345.4833984375,15294.4697265625,0,CPS,0,4,2
50,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
50,16,0,1,0,0,0,0,0,CPS,0,4,2
53,15,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
18,12,0,0,0,0,3485.758056640625,5980.359375,0,CPS,0,2,2
18,12,0,0,0,0,0,15024.0458984375,0,CPS,0,2,2
53,14,0,1,0,20985.70703125,20289.7265625,20692.60546875,0,CPS,0,3,2
53,13,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
50,11,0,1,1,21367.763671875,20950.35546875,23577.126953125,0,CPS,0,1,2
53,12,0,1,0,25738.888671875,24742.2578125,25564.669921875,0,CPS,0,2,2
53,12,0,1,0,9761.0673828125,13393.4033203125,2936.24267578125,0,CPS,0,2,2
53,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
53,12,0,1,0,18544.4609375,11631.7255859375,0,0,CPS,0,2,2
53,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
53,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
53,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
48,13,0,0,0,256.6639404296875,0,6562.58349609375,0,CPS,0,3,2
50,12,0,1,0,2901.674072265625,1962.193603515625,118.21812438964844,0,CPS,0,2,2
50,12,0,1,0,15221.5439453125,15776.322265625,15829.4072265625,0,CPS,0,2,2
50,12,0,1,0,21162.041015625,21485.662109375,21698.9375,0,CPS,0,2,2
50,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
50,12,0,1,0,25862.322265625,24090.580078125,0,0,CPS,0,2,2
50,12,0,1,0,16540.130859375,13019.2255859375,13869.94140625,0,CPS,0,2,2
50,12,0,1,0,22098.5703125,22830.193359375,16407.197265625,0,CPS,0,2,2
53,9,0,1,1,20838.76171875,20989.7421875,21192.076171875,0,CPS,0,1,2
54,12,0,0,0,0,0,0,0,CPS,0,2,2
42,18,0,1,0,25439.12109375,23275.984375,25564.669921875,0,CPS,0,4,2
42,16,0,1,0,25862.322265625,24321.533203125,195.05990600585938,0,CPS,0,4,2
46,17,0,1,0,25862.322265625,25243.548828125,11245.4990234375,0,CPS,0,4,2
46,16,0,1,0,0,0,0,0,CPS,0,4,2
42,10,0,1,1,25862.322265625,25243.548828125,14155.142578125,0,CPS,0,1,2
46,15,0,1,0,10125.4912109375,11572.6455078125,7131.50830078125,0,CPS,0,3,2
46,14,0,1,0,25862.322265625,13445.322265625,0,0,CPS,0,3,2
46,14,0,1,0,19384.986328125,16680.435546875,19089.271484375,0,CPS,0,3,2
42,8,0,1,1,20766.26953125,21845.515625,24078.076171875,0,CPS,0,1,2
46,12,0,1,0,16475.474609375,16497.822265625,19294.67578125,0,CPS,0,2,2
55,18,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
55,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
46,6,0,1,1,21164,17885.322265625,25564.669921875,0,CPS,0,1,2
55,15,0,1,0,22319.966796875,25243.548828125,25564.669921875,0,CPS,0,3,2
55,15,0,1,0,24608.390625,25243.548828125,25564.669921875,0,CPS,0,3,2
55,14,0,1,0,0,0,0,0,CPS,0,3,2
55,14,0,1,0,24200.86328125,25243.548828125,0,0,CPS,0,3,2
55,14,0,1,0,17137.70703125,0,25564.669921875,0,CPS,0,3,2
55,13,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
55,13,0,1,0,0,0,0,0,CPS,0,3,2
55,12,0,1,0,16859.490234375,20889.484375,15307.76953125,0,CPS,0,2,2
55,12,0,1,0,11814.37890625,0,0,0,CPS,0,2,2
55,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
55,12,0,1,0,17743.12109375,14498.0322265625,11609.01953125,0,CPS,0,2,2
55,12,0,1,0,25862.322265625,25243.548828125,564.4915771484375,0,CPS,0,2,2
55,12,0,1,0,5509.4580078125,16716.2421875,11867.6220703125,0,CPS,0,2,2
55,12,0,1,0,15752.5048828125,18798.38671875,13179.84375,0,CPS,0,2,2
55,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
55,12,0,1,0,12472.6923828125,11511.7744140625,11572.0771484375,0,CPS,0,2,2
55,12,0,1,0,14333.99609375,15692.177734375,15613.6591796875,0,CPS,0,2,2
55,12,0,1,0,9796.333984375,12800.806640625,14777.265625,0,CPS,0,2,2
55,12,0,1,0,25409.73046875,22565.2265625,25320.845703125,0,CPS,0,2,2
55,12,0,1,0,0,0,0,0,CPS,0,2,2
55,10,0,1,1,0,0,0,0,CPS,0,1,2
52,18,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
55,9,0,1,1,15252.8916015625,25243.548828125,25564.669921875,0,CPS,0,1,2
49,15,0,1,0,25862.322265625,5370.9677734375,0,0,CPS,0,3,2
24,13,0,0,0,15664.337890625,12073.935546875,14904.3505859375,0,CPS,0,3,2
52,16,0,1,0,5478.10986328125,22507.935546875,23877.10546875,0,CPS,0,4,2
26,12,0,0,0,1201.030517578125,0,21659.0390625,0,CPS,0,2,2
41,14,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
35,12,0,1,0,24582.919921875,23788.015625,24726.798828125,0,CPS,0,2,2
49,12,0,1,0,12094.5537109375,4296.7744140625,1861.9354248046875,0,CPS,0,2,2
49,12,0,1,0,25862.322265625,20400.7265625,18444.982421875,0,CPS,0,2,2
49,12,0,1,0,20944.5625,19290.7265625,20001.029296875,0,CPS,0,2,2
49,12,0,1,0,16018.9658203125,22262.662109375,16153.029296875,0,CPS,0,2,2
52,14,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
41,13,0,1,0,19030.359375,18300.677734375,19537.0234375,0,CPS,0,3,2
49,9,0,1,1,21064.078125,25243.548828125,25564.669921875,0,CPS,0,1,2
55,4,0,1,1,24377.197265625,20026.548828125,20398.537109375,0,CPS,0,1,2
41,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
52,12,0,1,0,25862.322265625,25243.548828125,19039.029296875,0,CPS,0,2,2
52,12,0,1,0,4633.666015625,12668.322265625,21520.1328125,0,CPS,0,2,2
52,12,0,1,0,21067.99609375,22785.435546875,23745.587890625,0,CPS,0,2,2
52,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
52,12,0,1,0,25862.322265625,24650.951171875,24883.4375,0,CPS,0,2,2
52,12,0,1,0,25862.322265625,16970.466796875,25564.669921875,0,CPS,0,2,2
52,12,0,1,0,23973.587890625,21548.322265625,17748.974609375,0,CPS,0,2,2
52,10,0,1,1,13873.568359375,12489.2900390625,13785.7109375,1,CPS,0,1,2
45,11,0,1,1,852.28106689453125,0,0,0,CPS,0,1,2
45,12,0,1,0,21324.66015625,23370.87109375,18196.724609375,0,CPS,0,2,2
45,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
45,12,0,1,0,0,4407.7744140625,12303.5517578125,0,CPS,0,2,2
45,12,0,1,0,25862.322265625,23548.11328125,24738.62109375,0,CPS,0,2,2
45,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
52,7,0,1,1,25862.322265625,14514.1455078125,25564.669921875,1,CPS,0,1,2
40,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
40,12,0,1,0,24016.693359375,18404.515625,17586.423828125,0,CPS,0,2,2
40,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
40,12,0,1,0,13634.5380859375,15298.306640625,20627.5859375,0,CPS,0,2,2
40,12,0,1,0,25862.322265625,25243.548828125,23653.96875,0,CPS,0,2,2
48,18,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
48,18,0,1,0,0,0,0,0,CPS,0,4,2
48,17,0,1,0,0,0,0,0,CPS,0,4,2
54,17,0,1,0,10458.56640625,11483.12890625,14292.5712890625,0,CPS,0,4,2
54,16,0,1,0,13483.673828125,3732.822509765625,13636.4609375,0,CPS,0,4,2
54,15,0,1,0,4406.39111328125,6412.935546875,67.97542572021484,0,CPS,0,3,2
54,15,0,1,0,19776.83984375,21100.7421875,22446.666015625,0,CPS,0,3,2
48,13,0,1,0,0,0,0,0,CPS,0,3,2
48,13,0,1,0,25862.322265625,20714.033203125,25564.669921875,0,CPS,0,3,2
44,18,0,1,0,20674.18359375,21127.59765625,20822.64453125,0,CPS,0,4,2
51,18,0,1,0,25862.322265625,25243.548828125,0,0,CPS,0,4,2
54,14,0,1,0,19202.7734375,19437.533203125,20215.298828125,0,CPS,0,3,2
48,12,0,1,0,23146.77734375,5297.564453125,25564.669921875,0,CPS,0,2,2
54,14,0,1,0,25862.322265625,24362.708984375,25564.669921875,0,CPS,0,3,2
48,12,0,1,0,25862.322265625,12084.677734375,25564.669921875,0,CPS,0,2,2
48,12,0,1,0,0,0,0,0,CPS,0,2,2
48,12,0,1,0,25862.322265625,25243.548828125,24273.13671875,0,CPS,0,2,2
48,12,0,1,0,0,0,0,0,CPS,0,2,2
48,12,0,1,0,25591.943359375,25243.548828125,25564.669921875,0,CPS,0,2,2
54,13,0,1,0,0,0,0,0,CPS,0,3,2
54,13,0,1,0,22611.8984375,19672.064453125,21264.486328125,0,CPS,0,3,2
44,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
44,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
51,16,0,1,0,25862.322265625,24860.419921875,24574.59375,0,CPS,0,4,2
51,16,0,1,0,3607.01025390625,25243.548828125,0,0,CPS,0,4,2
54,12,0,1,0,25862.322265625,1229.95166015625,25564.669921875,0,CPS,0,2,2
54,12,0,1,0,19982.5625,19960.306640625,17206.6484375,0,CPS,0,2,2
54,12,0,1,0,21058.19921875,21303.048828125,22508.73046875,0,CPS,0,2,2
54,12,0,1,0,0,0,0,0,CPS,0,2,2
54,12,0,1,0,15196.0732421875,14188.306640625,1052.141357421875,0,CPS,0,2,2
54,12,0,1,0,0,0,0,0,CPS,0,2,2
54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
54,12,0,1,0,22415.970703125,21118.64453125,23322.958984375,0,CPS,0,2,2
54,12,0,1,0,14531.8818359375,13259.12890625,25564.669921875,0,CPS,0,2,2
54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
54,12,0,1,0,5166.58642578125,1963.98388671875,4473.078125,0,CPS,0,2,2
54,12,0,1,0,15127.4990234375,12247.5966796875,13698.525390625,0,CPS,0,2,2
54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
54,12,0,1,0,20374.416015625,20499.193359375,10261.3330078125,0,CPS,0,2,2
48,8,0,1,1,5470.27294921875,2588.806396484375,8703.8095703125,0,CPS,0,1,2
51,15,0,1,0,5593.70654296875,12396.193359375,2523.95703125,0,CPS,0,3,2
51,15,0,1,0,25862.322265625,16453.064453125,14605.849609375,0,CPS,0,3,2
44,14,0,1,0,16908.47265625,1315.8870849609375,24276.091796875,0,CPS,0,3,2
51,14,0,1,0,0,0,0,0,CPS,0,3,2
54,8,0,1,1,22878.359375,20137.548828125,17918.912109375,0,CPS,0,1,2
54,8,0,1,1,25276.501953125,22241.177734375,25564.669921875,0,CPS,0,1,2
44,13,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
48,6,0,1,1,23773.744140625,5650.25830078125,0,0,CPS,0,1,2
51,13,0,1,0,14569.1083984375,20171.564453125,21664.94921875,0,CPS,0,3,2
44,12,0,1,0,22029.99609375,14598.2900390625,25564.669921875,0,CPS,0,2,2
44,12,0,1,0,8270.0654296875,8359.0166015625,12610.9189453125,0,CPS,0,2,2
44,12,0,1,0,21465.7265625,17532.62890625,25564.669921875,0,CPS,0,2,2
44,12,0,1,0,18916.720703125,16182.7255859375,21121.146484375,0,CPS,0,2,2
44,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
51,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
51,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
51,12,0,1,0,20376.375,22110.484375,23495.8515625,0,CPS,0,2,2
51,12,0,1,0,11755.6005859375,10741.935546875,8866.359375,0,CPS,0,2,2
51,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
51,12,0,1,0,10648.615234375,4434.62890625,0,0,CPS,0,2,2
51,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
39,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
39,10,0,1,1,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,1,2
54,6,0,1,1,14451.5517578125,14915.177734375,16450.052734375,1,CPS,0,1,2
51,1,0,1,1,20309.759765625,13584.9677734375,0,0,CPS,0,1,2
47,18,0,1,0,17999.783203125,23184.677734375,25564.669921875,0,CPS,0,4,2
47,16,0,1,0,25260.826171875,25243.548828125,4422.83544921875,0,CPS,0,4,2
47,14,0,1,0,0,0,0,0,CPS,0,3,2
38,12,0,1,0,25744.765625,19570.015625,16631.8125,0,CPS,0,2,2
38,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
43,14,0,1,0,21996.6875,23066.515625,594.04608154296875,0,CPS,0,3,2
47,13,0,1,0,3309.20166015625,762.67742919921875,1915.1336669921875,0,CPS,0,3,2
47,12,0,1,0,25862.322265625,23979.580078125,25564.669921875,0,CPS,0,2,2
47,12,0,1,0,9860.990234375,13128.435546875,6598.04931640625,0,CPS,0,2,2
47,12,0,1,0,23370.134765625,3827.709716796875,23225.427734375,0,CPS,0,2,2
47,12,0,1,0,25862.322265625,25243.548828125,20609.8515625,0,CPS,0,2,2
47,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
47,12,0,1,0,3136.7861328125,2866.306396484375,4945.95068359375,0,CPS,0,2,2
47,12,0,1,0,10897.4423828125,20316.580078125,19395.162109375,0,CPS,0,2,2
47,12,0,1,0,14392.7744140625,9538.8388671875,664.9769287109375,0,CPS,0,2,2
47,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
47,12,0,1,0,15356.7333984375,5934.91943359375,11051.9169921875,0,CPS,0,2,2
43,12,0,1,0,0,18212.951171875,12893.1640625,0,CPS,0,2,2
43,12,0,1,0,0,0,0,0,CPS,0,2,2
43,12,0,1,0,25862.322265625,23243.7578125,25564.669921875,0,CPS,0,2,2
43,12,0,1,0,0,0,0,0,CPS,0,2,2
43,12,0,1,0,24747.498046875,22597.451171875,12305.029296875,0,CPS,0,2,2
43,12,0,1,0,19334.044921875,17996.322265625,19664.107421875,0,CPS,0,2,2
43,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
43,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
43,12,0,1,0,25862.322265625,25243.548828125,13119.2568359375,0,CPS,0,2,2
43,12,0,1,0,12968.38671875,16773.533203125,21944.240234375,0,CPS,0,2,2
43,12,0,1,0,21395.193359375,19550.322265625,21211.287109375,0,CPS,0,2,2
43,12,0,1,0,23961.83203125,22735.306640625,20298.052734375,0,CPS,0,2,2
43,9,0,1,1,23091.91796875,21363.919921875,25508.515625,0,CPS,0,1,2
50,18,0,1,0,23203.59765625,25243.548828125,25564.669921875,0,CPS,0,4,2
50,18,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
50,18,0,1,0,25836.8515625,25243.548828125,25564.669921875,0,CPS,0,4,2
50,18,0,1,0,25862.322265625,25243.548828125,7573.3486328125,0,CPS,0,4,2
43,8,0,1,1,14784.626953125,14250.9677734375,7815.69580078125,0,CPS,0,1,2
43,8,0,1,1,23089.958984375,21548.322265625,20738.4140625,0,CPS,0,1,2
43,8,0,1,1,22966.525390625,22640.419921875,21846.708984375,0,CPS,0,1,2
53,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
50,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
18,11,0,0,1,460.4277038574219,179.03225708007812,25564.669921875,0,CPS,0,1,2
47,12,0,1,0,0,0,0,1,CPS,0,2,2
18,12,0,0,0,0,1416.1451416015625,11273.576171875,0,CPS,0,2,2
50,13,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
50,13,0,1,0,0,4305.7255859375,16651.0234375,0,CPS,0,3,2
53,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
53,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
53,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
53,12,0,1,0,0,0,0,0,CPS,0,2,2
53,12,0,1,0,19927.703125,18323.951171875,13943.828125,0,CPS,0,2,2
53,12,0,1,0,1782.9327392578125,1765.258056640625,0,0,CPS,0,2,2
53,12,0,1,0,25862.322265625,21005.85546875,19050.8515625,0,CPS,0,2,2
