year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,859,900,-1,1223,1225,-2,VX,407,N846VA,JFK,LAX,359,2475,9,0,2013-01-01T14:00:00Z
2013,1,1,921,900,21,1237,1227,10,DL,120,N713TW,JFK,LAX,333,2475,9,0,2013-01-01T14:00:00Z
2013,1,1,941,945,-4,1300,1258,2,B6,679,N806JB,JFK,LAX,352,2475,9,45,2013-01-01T14:00:00Z
2013,1,1,953,921,32,1320,1241,39,UA,222,N586UA,EWR,LAX,346,2454,9,21,2013-01-01T14:00:00Z
2013,1,1,1026,1030,-4,1351,1340,11,AA,19,N328AA,JFK,LAX,356,2475,10,30,2013-01-01T15:00:00Z
2013,1,1,1029,1030,-1,1427,1355,32,AA,179,N325AA,JFK,SFO,389,2586,10,30,2013-01-01T15:00:00Z
2013,1,1,1031,1030,1,1353,1415,-22,VX,23,N625VA,JFK,SFO,363,2586,10,30,2013-01-01T15:00:00Z
2013,1,1,1105,1047,18,1428,1405,23,UA,688,N521UA,EWR,SFO,356,2565,10,47,2013-01-01T15:00:00Z
2013,1,1,1112,1100,12,1440,1438,2,UA,285,N517UA,JFK,SFO,364,2586,11,0,2013-01-01T16:00:00Z
2013,1,1,1124,1100,24,1435,1431,4,B6,641,N590JB,JFK,SFO,349,2586,11,0,2013-01-01T16:00:00Z
2013,1,1,1127,1130,-3,1504,1448,16,UA,703,N518UA,JFK,LAX,357,2475,11,30,2013-01-01T16:00:00Z
2013,1,1,1133,1130,3,1448,1450,-2,VX,409,N839VA,JFK,LAX,347,2475,11,30,2013-01-01T16:00:00Z
2013,1,1,1153,1200,-7,1450,1529,-39,DL,863,N712TW,JFK,LAX,330,2475,12,0,2013-01-01T17:00:00Z
2013,1,1,1155,1200,-5,1517,1510,7,AA,3,N322AA,JFK,LAX,353,2475,12,0,2013-01-01T17:00:00Z
2013,1,1,1203,1200,3,1519,1545,-26,VX,25,N843VA,JFK,SFO,353,2586,12,0,2013-01-01T17:00:00Z
2013,1,1,1217,1218,-1,1525,1529,-4,UA,391,N573UA,EWR,SFO,345,2565,12,18,2013-01-01T17:00:00Z
2013,1,1,1320,1320,0,1625,1636,-11,UA,1425,N58101,EWR,LAX,334,2454,13,20,2013-01-01T18:00:00Z
2013,1,1,1327,1330,-3,1638,1655,-17,VX,411,N642VA,JFK,LAX,352,2475,13,30,2013-01-01T18:00:00Z
2013,1,1,1337,1220,77,1649,1531,78,B6,673,N636JB,JFK,LAX,352,2475,12,20,2013-01-01T17:00:00Z
2013,1,1,1341,1345,-4,1709,1705,4,AA,117,N339AA,JFK,LAX,362,2475,13,45,2013-01-01T18:00:00Z
2013,1,1,1422,1425,-3,1748,1759,-11,UA,257,N502UA,JFK,SFO,362,2586,14,25,2013-01-01T19:00:00Z
2013,1,1,1436,1435,1,1840,1820,20,DL,1322,N722TW,JFK,SFO,375,2586,14,35,2013-01-01T19:00:00Z
2013,1,1,1454,1500,-6,1815,1837,-22,DL,1467,N702TW,JFK,LAX,340,2475,15,0,2013-01-01T20:00:00Z
2013,1,1,1518,1516,2,1837,1832,5,UA,1699,N53442,EWR,SFO,348,2565,15,16,2013-01-01T20:00:00Z
2013,1,1,1522,1530,-8,1858,1855,3,UA,530,N512UA,JFK,LAX,356,2475,15,30,2013-01-01T20:00:00Z
2013,1,1,1523,1516,7,1831,1828,3,UA,1600,N18112,EWR,LAX,337,2454,15,16,2013-01-01T20:00:00Z
2013,1,1,1539,1530,9,1904,1910,-6,AA,85,N342AA,JFK,SFO,360,2586,15,30,2013-01-01T20:00:00Z
2013,1,1,1539,1545,-6,1853,1910,-17,AA,133,N319AA,JFK,LAX,351,2475,15,45,2013-01-01T20:00:00Z
2013,1,1,1626,1630,-4,2007,1952,15,B6,675,N804JB,JFK,LAX,370,2475,16,30,2013-01-01T21:00:00Z
2013,1,1,1627,1630,-3,1940,2020,-40,VX,27,N847VA,JFK,SFO,354,2586,16,30,2013-01-01T21:00:00Z
2013,1,1,1655,1700,-5,2027,2049,-22,DL,31,N713TW,JFK,SFO,357,2586,17,0,2013-01-01T22:00:00Z
2013,1,1,1655,1655,0,2025,2030,-5,VX,413,N626VA,JFK,LAX,362,2475,16,55,2013-01-01T21:00:00Z
2013,1,1,1707,1700,7,2006,2000,6,UA,342,N543UA,EWR,LAX,334,2454,17,0,2013-01-01T22:00:00Z
2013,1,1,1720,1725,-5,2121,2105,16,DL,513,N723TW,JFK,LAX,363,2475,17,25,2013-01-01T22:00:00Z
2013,1,1,1726,1729,-3,2042,2100,-18,UA,512,N557UA,JFK,SFO,347,2586,17,29,2013-01-01T22:00:00Z
2013,1,1,1729,1718,11,2052,2055,-3,UA,1284,N14120,EWR,SFO,360,2565,17,18,2013-01-01T22:00:00Z
2013,1,1,1750,1750,0,2109,2115,-6,UA,535,N525UA,JFK,LAX,345,2475,17,50,2013-01-01T22:00:00Z
2013,1,1,1802,1801,1,2125,2137,-12,UA,1165,N75429,EWR,LAX,340,2454,18,1,2013-01-01T23:00:00Z
2013,1,1,1820,1820,0,2216,2150,26,AA,119,N3FMAA,EWR,LAX,366,2454,18,20,2013-01-01T23:00:00Z
2013,1,1,1840,1845,-5,2223,2226,-3,UA,389,N508UA,JFK,SFO,357,2586,18,45,2013-01-01T23:00:00Z
2013,1,1,1848,1745,63,2238,2120,78,AA,177,N332AA,JFK,SFO,361,2586,17,45,2013-01-01T22:00:00Z
2013,1,1,1850,1850,0,2249,2240,9,VX,29,N638VA,JFK,SFO,364,2586,18,50,2013-01-01T23:00:00Z
2013,1,1,1856,1645,131,2212,2005,127,AA,181,N323AA,JFK,LAX,336,2475,16,45,2013-01-01T21:00:00Z
2013,1,1,1905,1900,5,2311,2301,10,DL,853,N727TW,JFK,SFO,361,2586,19,0,2013-01-02T00:00:00Z
2013,1,1,1915,1904,11,2242,2246,-4,UA,1606,N76503,EWR,SFO,351,2565,19,4,2013-01-02T00:00:00Z
2013,1,1,1925,1900,25,2259,2238,21,DL,87,N624AG,JFK,LAX,332,2475,19,0,2013-01-02T00:00:00Z
2013,1,1,1929,1920,9,3,7,-4,UA,1071,N27205,EWR,BQN,192,1585,19,20,2013-01-02T00:00:00Z
2013,1,1,1937,1905,32,2250,2225,25,AA,21,N327AA,JFK,LAX,332,2475,19,5,2013-01-02T00:00:00Z
2013,1,1,1952,2000,-8,2314,2325,-11,VX,415,N640VA,JFK,LAX,349,2475,20,0,2013-01-02T01:00:00Z
2013,1,1,1957,1945,12,2307,2329,-22,B6,645,N652JB,JFK,SFO,337,2586,19,45,2013-01-02T00:00:00Z
2013,1,1,2035,2030,5,2337,5,-28,UA,1482,N38268,EWR,LAX,333,2454,20,30,2013-01-02T01:00:00Z
2013,1,1,2107,2040,27,2354,2359,-5,B6,677,N779JB,JFK,LAX,323,2475,20,40,2013-01-02T01:00:00Z
2013,1,1,2108,2057,11,25,39,-14,UA,1517,N17245,EWR,SFO,354,2565,20,57,2013-01-02T01:00:00Z
2013,1,1,2128,2135,-7,26,50,-24,AA,185,N338AA,JFK,LAX,338,2475,21,35,2013-01-02T02:00:00Z
2013,1,1,2356,2359,-3,425,437,-12,B6,727,N588JB,JFK,BQN,186,1576,23,59,2013-01-02T04:00:00Z
2013,1,2,539,545,-6,959,1022,-23,B6,725,N624JB,JFK,BQN,184,1576,5,45,2013-01-02T10:00:00Z
2013,1,2,558,600,-2,916,931,-15,UA,303,N505UA,JFK,SFO,341,2586,6,0,2013-01-02T11:00:00Z
2013,1,2,603,559,4,912,916,-4,UA,1676,N17229,EWR,LAX,341,2454,5,59,2013-01-02T10:00:00Z
2013,1,2,605,600,5,851,935,-44,UA,421,N832UA,EWR,SFO,329,2565,6,0,2013-01-02T11:00:00Z
2013,1,2,616,600,16,1001,917,44,UA,1141,N19141,JFK,LAX,354,2475,6,0,2013-01-02T11:00:00Z
2013,1,2,632,630,2,941,940,1,UA,387,N521UA,EWR,LAX,325,2454,6,30,2013-01-02T11:00:00Z
2013,1,2,654,700,-6,946,1045,-59,DL,1865,N711ZX,JFK,SFO,323,2586,7,0,2013-01-02T12:00:00Z
2013,1,2,655,700,-5,1031,1034,-3,DL,763,N705TW,JFK,LAX,317,2475,7,0,2013-01-02T12:00:00Z
2013,1,2,659,700,-1,959,1025,-26,VX,399,N626VA,JFK,LAX,330,2475,7,0,2013-01-02T12:00:00Z
2013,1,2,709,700,9,1006,1014,-8,B6,671,N583JB,JFK,LAX,327,2475,7,0,2013-01-02T12:00:00Z
2013,1,2,715,715,0,1047,1112,-25,UA,223,N517UA,JFK,SFO,341,2586,7,15,2013-01-02T12:00:00Z
2013,1,2,724,730,-6,1039,1115,-36,VX,11,N847VA,JFK,SFO,344,2586,7,30,2013-01-02T12:00:00Z
2013,1,2,732,730,2,1105,1100,5,AA,33,N322AA,JFK,LAX,351,2475,7,30,2013-01-02T12:00:00Z
2013,1,2,733,737,-4,1043,1113,-30,B6,643,N804JB,JFK,SFO,335,2586,7,37,2013-01-02T12:00:00Z
2013,1,2,739,745,-6,1116,1125,-9,AA,59,N325AA,JFK,SFO,353,2586,7,45,2013-01-02T12:00:00Z
2013,1,2,745,746,-1,1118,1129,-11,UA,1668,N37287,EWR,SFO,350,2565,7,46,2013-01-02T12:00:00Z
2013,1,2,822,823,-1,1142,1143,-1,UA,1067,N73259,EWR,LAX,343,2454,8,23,2013-01-02T13:00:00Z
2013,1,2,829,830,-1,1154,1200,-6,UA,572,N525UA,JFK,LAX,340,2475,8,30,2013-01-02T13:00:00Z
2013,1,2,839,800,39,1205,1144,21,UA,397,N554UA,JFK,SFO,349,2586,8,0,2013-01-02T13:00:00Z
2013,1,2,855,900,-5,1225,1220,5,AA,1,N336AA,JFK,LAX,336,2475,9,0,2013-01-02T14:00:00Z
2013,1,2,857,900,-3,1130,1227,-57,DL,120,N710TW,JFK,LAX,310,2475,9,0,2013-01-02T14:00:00Z
2013,1,2,858,823,35,1246,1158,48,UA,974,N563UA,EWR,SFO,350,2565,8,23,2013-01-02T13:00:00Z
2013,1,2,859,857,2,1205,1217,-12,UA,222,N577UA,EWR,LAX,330,2454,8,57,2013-01-02T13:00:00Z
2013,1,2,903,900,3,1218,1225,-7,VX,407,N624VA,JFK,LAX,338,2475,9,0,2013-01-02T14:00:00Z
2013,1,2,955,1000,-5,1336,1341,-5,DL,1765,N707TW,JFK,SFO,362,2586,10,0,2013-01-02T15:00:00Z
2013,1,2,1004,945,19,1251,1258,-7,B6,679,N706JB,JFK,LAX,326,2475,9,45,2013-01-02T14:00:00Z
2013,1,2,1028,1030,-2,1345,1415,-30,VX,23,N855VA,JFK,SFO,357,2586,10,30,2013-01-02T15:00:00Z
2013,1,2,1038,1030,8,1347,1340,7,AA,19,N328AA,JFK,LAX,344,2475,10,30,2013-01-02T15:00:00Z
2013,1,2,1048,1047,1,1321,1405,-44,UA,460,N526UA,EWR,SFO,310,2565,10,47,2013-01-02T15:00:00Z
2013,1,2,1057,1100,-3,1343,1431,-48,B6,641,N784JB,JFK,SFO,330,2586,11,0,2013-01-02T16:00:00Z
2013,1,2,1100,1100,0,1408,1438,-30,UA,642,N557UA,JFK,SFO,340,2586,11,0,2013-01-02T16:00:00Z
2013,1,2,1125,1130,-5,1416,1448,-32,UA,703,N510UA,JFK,LAX,332,2475,11,30,2013-01-02T16:00:00Z
2013,1,2,1131,1130,1,1436,1450,-14,VX,409,N627VA,JFK,LAX,341,2475,11,30,2013-01-02T16:00:00Z
2013,1,2,1156,1200,-4,1509,1529,-20,DL,863,N624AG,JFK,LAX,348,2475,12,0,2013-01-02T17:00:00Z
2013,1,2,1201,1200,1,1504,1545,-41,VX,25,N846VA,JFK,SFO,338,2586,12,0,2013-01-02T17:00:00Z
2013,1,2,1204,1200,4,1511,1510,1,AA,3,N319AA,JFK,LAX,341,2475,12,0,2013-01-02T17:00:00Z
2013,1,2,1216,1220,-4,1520,1531,-11,B6,673,N796JB,JFK,LAX,337,2475,12,20,2013-01-02T17:00:00Z
2013,1,2,1220,1218,2,1521,1529,-8,UA,391,N586UA,EWR,SFO,316,2565,12,18,2013-01-02T17:00:00Z
2013,1,2,1318,1320,-2,1634,1636,-2,UA,1425,N12125,EWR,LAX,340,2454,13,20,2013-01-02T18:00:00Z
2013,1,2,1326,1330,-4,1650,1655,-5,VX,411,N635VA,JFK,LAX,361,2475,13,30,2013-01-02T18:00:00Z
2013,1,2,1341,1345,-4,1648,1705,-17,AA,117,N332AA,JFK,LAX,344,2475,13,45,2013-01-02T18:00:00Z
2013,1,2,1416,1429,-13,1736,1803,-27,UA,257,N518UA,JFK,SFO,341,2586,14,29,2013-01-02T19:00:00Z
2013,1,2,1430,1435,-5,1754,1820,-26,DL,1322,N721TW,JFK,SFO,347,2586,14,35,2013-01-02T19:00:00Z
2013,1,2,1500,1500,0,1811,1837,-26,DL,1467,N718TW,JFK,LAX,341,2475,15,0,2013-01-02T20:00:00Z
2013,1,2,1519,1516,3,1833,1828,5,UA,1600,N14107,EWR,LAX,346,2454,15,16,2013-01-02T20:00:00Z
2013,1,2,1525,1530,-5,1832,1855,-23,UA,530,N532UA,JFK,LAX,341,2475,15,30,2013-01-02T20:00:00Z
2013,1,2,1530,1530,0,1859,1910,-11,AA,85,N344AA,JFK,SFO,354,2586,15,30,2013-01-02T20:00:00Z
2013,1,2,1607,1030,337,2003,1355,368,AA,179,N324AA,JFK,SFO,346,2586,10,30,2013-01-02T15:00:00Z
2013,1,2,1618,1516,62,1913,1825,48,UA,315,N541UA,EWR,SFO,333,2565,15,16,2013-01-02T20:00:00Z
2013,1,2,1627,1630,-3,1927,1952,-25,B6,675,N779JB,JFK,LAX,321,2475,16,30,2013-01-02T21:00:00Z
2013,1,2,1628,1630,-2,1950,2020,-30,VX,27,N836VA,JFK,SFO,346,2586,16,30,2013-01-02T21:00:00Z
2013,1,2,1655,1700,-5,2026,2049,-23,DL,31,N727TW,JFK,SFO,343,2586,17,0,2013-01-02T22:00:00Z
2013,1,2,1655,1655,0,1955,2030,-35,VX,413,N841VA,JFK,LAX,330,2475,16,55,2013-01-02T21:00:00Z
2013,1,2,1713,1700,13,2007,2000,7,UA,342,N597UA,EWR,LAX,332,2454,17,0,2013-01-02T22:00:00Z
2013,1,2,1717,1645,32,2033,2005,28,AA,181,N338AA,JFK,LAX,335,2475,16,45,2013-01-02T21:00:00Z
2013,1,2,1724,1725,-1,2116,2105,11,DL,513,N712TW,JFK,LAX,381,2475,17,25,2013-01-02T22:00:00Z
2013,1,2,1730,1729,1,2039,2100,-21,UA,512,N502UA,JFK,SFO,328,2586,17,29,2013-01-02T22:00:00Z
2013,1,2,1746,1750,-4,2043,2115,-32,UA,535,N512UA,JFK,LAX,325,2475,17,50,2013-01-02T22:00:00Z
2013,1,2,1755,1745,10,2111,2120,-9,AA,177,N323AA,JFK,SFO,348,2586,17,45,2013-01-02T22:00:00Z
2013,1,2,1806,1801,5,2140,2137,3,UA,1209,N12116,EWR,LAX,341,2454,18,1,2013-01-02T23:00:00Z
2013,1,2,1813,1725,48,2149,2102,47,UA,979,N421UA,EWR,SFO,355,2565,17,25,2013-01-02T22:00:00Z
2013,1,2,1844,1845,-1,2236,2226,10,UA,389,N508UA,JFK,SFO,339,2586,18,45,2013-01-02T23:00:00Z
2013,1,2,1848,1820,28,2208,2150,18,AA,119,N3DNAA,EWR,LAX,349,2454,18,20,2013-01-02T23:00:00Z
2013,1,2,1849,1850,-1,2229,2240,-11,VX,29,N628VA,JFK,SFO,353,2586,18,50,2013-01-02T23:00:00Z
2013,1,2,1856,1900,-4,2250,2238,12,DL,87,N703TW,JFK,LAX,371,2475,19,0,2013-01-03T00:00:00Z
2013,1,2,1905,1905,0,2216,2225,-9,AA,21,N339AA,JFK,LAX,333,2475,19,5,2013-01-03T00:00:00Z
2013,1,2,1908,1910,-2,2227,2252,-25,UA,1059,N73299,EWR,SFO,344,2565,19,10,2013-01-03T00:00:00Z
2013,1,2,1937,1900,37,2301,2301,0,DL,853,N723TW,JFK,SFO,341,2586,19,0,2013-01-03T00:00:00Z
2013,1,2,1958,2000,-2,2303,2325,-22,VX,415,N622VA,JFK,LAX,335,2475,20,0,2013-01-03T01:00:00Z
2013,1,2,2002,1945,17,2256,2329,-33,B6,645,N568JB,JFK,SFO,320,2586,19,45,2013-01-03T00:00:00Z
2013,1,2,2037,2024,13,2351,2359,-8,UA,1595,N26226,EWR,LAX,345,2454,20,24,2013-01-03T01:00:00Z
2013,1,2,2040,2028,12,110,115,-5,UA,1071,N33289,EWR,BQN,190,1585,20,28,2013-01-03T01:00:00Z
2013,1,2,2047,2040,7,2329,2359,-30,B6,677,N583JB,JFK,LAX,316,2475,20,40,2013-01-03T01:00:00Z
2013,1,2,2053,2022,31,2331,2356,-25,UA,299,N539UA,EWR,SFO,316,2565,20,22,2013-01-03T01:00:00Z
2013,1,2,2100,2100,0,36,31,5,DL,2363,N711ZX,JFK,LAX,367,2475,21,0,2013-01-03T02:00:00Z
2013,1,2,2134,2135,-1,36,50,-14,AA,185,N322AA,JFK,LAX,340,2475,21,35,2013-01-03T02:00:00Z
2013,1,2,2354,2359,-5,413,437,-24,B6,727,N789JB,JFK,BQN,180,1576,23,59,2013-01-03T04:00:00Z
2013,1,2,NA,1545,NA,NA,1910,NA,AA,133,NA,JFK,LAX,NA,2475,15,45,2013-01-02T20:00:00Z
2013,1,3,235,2359,156,700,437,143,B6,727,N618JB,JFK,BQN,186,1576,23,59,2013-01-04T04:00:00Z
2013,1,3,543,545,-2,1009,1022,-13,B6,725,N779JB,JFK,BQN,191,1576,5,45,2013-01-03T10:00:00Z
2013,1,3,604,600,4,852,925,-33,UA,303,N517UA,JFK,SFO,324,2586,6,0,2013-01-03T11:00:00Z
2013,1,3,616,559,17,913,916,-3,UA,1570,N18119,JFK,LAX,335,2475,5,59,2013-01-03T10:00:00Z
2013,1,3,634,625,9,950,954,-4,UA,1528,N37408,EWR,SFO,331,2565,6,25,2013-01-03T11:00:00Z
2013,1,3,653,700,-7,1018,1045,-27,DL,1865,N718TW,JFK,SFO,339,2586,7,0,2013-01-03T12:00:00Z
2013,1,3,656,700,-4,959,1034,-35,DL,763,N624AG,JFK,LAX,319,2475,7,0,2013-01-03T12:00:00Z
2013,1,3,658,700,-2,938,1025,-47,VX,399,N638VA,JFK,LAX,316,2475,7,0,2013-01-03T12:00:00Z
2013,1,3,701,700,1,937,1014,-37,B6,671,N624JB,JFK,LAX,313,2475,7,0,2013-01-03T12:00:00Z
2013,1,3,704,705,-1,946,1018,-32,UA,604,N573UA,EWR,LAX,307,2454,7,5,2013-01-03T12:00:00Z
2013,1,3,716,715,1,1050,1040,10,UA,799,N525UA,JFK,SFO,336,2586,7,15,2013-01-03T12:00:00Z
2013,1,3,728,730,-2,1038,1115,-37,VX,11,N836VA,JFK,SFO,333,2586,7,30,2013-01-03T12:00:00Z
2013,1,3,730,730,0,1014,1100,-46,AA,33,N336AA,JFK,LAX,313,2475,7,30,2013-01-03T12:00:00Z
2013,1,3,742,745,-3,1049,1125,-36,AA,59,N324AA,JFK,SFO,336,2586,7,45,2013-01-03T12:00:00Z
2013,1,3,742,737,5,1038,1113,-35,B6,643,N524JB,JFK,SFO,327,2586,7,37,2013-01-03T12:00:00Z
2013,1,3,758,759,-1,1114,1124,-10,UA,397,N554UA,JFK,SFO,337,2586,7,59,2013-01-03T12:00:00Z
2013,1,3,825,829,-4,1120,1145,-25,UA,871,N512UA,JFK,LAX,321,2475,8,29,2013-01-03T13:00:00Z
2013,1,3,837,835,2,1150,1215,-25,UA,1517,N77261,EWR,SFO,324,2565,8,35,2013-01-03T13:00:00Z
2013,1,3,855,900,-5,1144,1220,-36,AA,1,N327AA,JFK,LAX,323,2475,9,0,2013-01-03T14:00:00Z
2013,1,3,855,900,-5,1157,1227,-30,DL,120,N711ZX,JFK,LAX,327,2475,9,0,2013-01-03T14:00:00Z
2013,1,3,858,900,-2,1155,1225,-30,VX,407,N631VA,JFK,LAX,322,2475,9,0,2013-01-03T14:00:00Z
2013,1,3,936,927,9,1221,1240,-19,UA,1223,N74856,EWR,LAX,306,2454,9,27,2013-01-03T14:00:00Z
2013,1,3,941,945,-4,1153,1258,-65,B6,679,N789JB,JFK,LAX,297,2475,9,45,2013-01-03T14:00:00Z
2013,1,3,957,1000,-3,1312,1341,-29,DL,1765,N703TW,JFK,SFO,347,2586,10,0,2013-01-03T15:00:00Z
2013,1,3,1024,1030,-6,1312,1340,-28,AA,19,N323AA,JFK,LAX,322,2475,10,30,2013-01-03T15:00:00Z
2013,1,3,1026,1030,-4,1312,1355,-43,AA,179,N339AA,JFK,SFO,326,2586,10,30,2013-01-03T15:00:00Z
2013,1,3,1026,1030,-4,1323,1415,-52,VX,23,N855VA,JFK,SFO,335,2586,10,30,2013-01-03T15:00:00Z
2013,1,3,1059,1059,0,1344,1431,-47,UA,1298,N76288,EWR,SFO,326,2565,10,59,2013-01-03T15:00:00Z
2013,1,3,1100,1100,0,1407,1425,-18,UA,642,N555UA,JFK,SFO,342,2586,11,0,2013-01-03T16:00:00Z
2013,1,3,1104,1100,4,1352,1431,-39,B6,641,N625JB,JFK,SFO,327,2586,11,0,2013-01-03T16:00:00Z
2013,1,3,1124,1130,-6,1407,1450,-43,VX,409,N621VA,JFK,LAX,320,2475,11,30,2013-01-03T16:00:00Z
2013,1,3,1127,1130,-3,1357,1445,-48,UA,703,N510UA,JFK,LAX,305,2475,11,30,2013-01-03T16:00:00Z
2013,1,3,1152,1200,-8,1446,1510,-24,AA,3,N328AA,JFK,LAX,325,2475,12,0,2013-01-03T17:00:00Z
2013,1,3,1153,1200,-7,1442,1545,-63,VX,25,N847VA,JFK,SFO,333,2586,12,0,2013-01-03T17:00:00Z
2013,1,3,1213,1220,-7,1439,1531,-52,B6,673,N766JB,JFK,LAX,308,2475,12,20,2013-01-03T17:00:00Z
2013,1,3,1233,1200,33,1534,1529,5,DL,863,N727TW,JFK,LAX,324,2475,12,0,2013-01-03T17:00:00Z
2013,1,3,1326,1330,-4,1609,1655,-46,VX,411,N624VA,JFK,LAX,320,2475,13,30,2013-01-03T18:00:00Z
2013,1,3,1328,1320,8,1557,1633,-36,UA,1110,N14121,EWR,LAX,309,2454,13,20,2013-01-03T18:00:00Z
2013,1,3,1340,1345,-5,1652,1705,-13,AA,117,N325AA,JFK,LAX,331,2475,13,45,2013-01-03T18:00:00Z
2013,1,3,1425,1429,-4,1711,1754,-43,UA,257,N508UA,JFK,SFO,326,2586,14,29,2013-01-03T19:00:00Z
2013,1,3,1453,1430,23,1754,1815,-21,DL,2126,N713TW,JFK,SFO,328,2586,14,30,2013-01-03T19:00:00Z
2013,1,3,1454,1500,-6,1759,1837,-38,DL,963,N705TW,JFK,LAX,321,2475,15,0,2013-01-03T20:00:00Z
2013,1,3,1459,1457,2,1757,1823,-26,UA,1054,N12238,EWR,SFO,326,2565,14,57,2013-01-03T19:00:00Z
2013,1,3,1503,1221,162,1803,1555,128,UA,551,N835UA,EWR,SFO,320,2565,12,21,2013-01-03T17:00:00Z
2013,1,3,1525,1506,19,1801,1819,-18,UA,1452,N18112,EWR,LAX,303,2454,15,6,2013-01-03T20:00:00Z
2013,1,3,1546,1545,1,1851,1910,-19,AA,133,N319AA,JFK,LAX,319,2475,15,45,2013-01-03T20:00:00Z
2013,1,3,1547,1540,7,1845,1900,-15,UA,161,N12116,JFK,LAX,323,2475,15,40,2013-01-03T20:00:00Z
2013,1,3,1626,1630,-4,1853,1952,-59,B6,675,N652JB,JFK,LAX,301,2475,16,30,2013-01-03T21:00:00Z
2013,1,3,1645,1630,15,1947,2020,-33,VX,27,N851VA,JFK,SFO,333,2586,16,30,2013-01-03T21:00:00Z
2013,1,3,1658,1700,-2,2019,2049,-30,DL,31,N723TW,JFK,SFO,336,2586,17,0,2013-01-03T22:00:00Z
2013,1,3,1659,1700,-1,1954,2036,-42,DL,127,N712TW,JFK,LAX,322,2475,17,0,2013-01-03T22:00:00Z
2013,1,3,1720,1645,35,2017,2005,12,AA,181,N322AA,JFK,LAX,319,2475,16,45,2013-01-03T21:00:00Z
2013,1,3,1721,1655,26,2013,2030,-17,VX,413,N641VA,JFK,LAX,321,2475,16,55,2013-01-03T21:00:00Z
2013,1,3,1725,1725,0,2024,2050,-26,UA,512,N518UA,JFK,SFO,332,2586,17,25,2013-01-03T22:00:00Z
2013,1,3,1728,1710,18,2003,2036,-33,UA,1418,N33103,EWR,SFO,312,2565,17,10,2013-01-03T22:00:00Z
2013,1,3,1751,1753,-2,2043,2105,-22,UA,535,N532UA,JFK,LAX,320,2475,17,53,2013-01-03T22:00:00Z
2013,1,3,1752,1729,23,2014,2047,-33,UA,1721,N26226,EWR,LAX,303,2454,17,29,2013-01-03T22:00:00Z
2013,1,3,1819,1820,-1,2108,2150,-42,AA,119,N3DNAA,EWR,LAX,310,2454,18,20,2013-01-03T23:00:00Z
2013,1,3,1821,1530,171,2131,1910,141,AA,85,N357AA,JFK,SFO,328,2586,15,30,2013-01-03T20:00:00Z
2013,1,3,1830,1830,0,2141,2148,-7,UA,1030,N35204,EWR,LAX,313,2454,18,30,2013-01-03T23:00:00Z
